0 1 2
2 4 2
3 5 2
6 8 2
7 9 2
10 11 2
12 14 2
13 16 2
15 20 2
17 19 2
18 21 2
22 23 2
24 25 2
26 30 2
27 28 2
29 31 2
32 33 2
34 35 2
36 37 2
38 39 2
40 42 2
41 44 2
43 49 2
45 48 2
46 51 2
47 50 2
52 54 2
53 56 2
55 60 2
57 58 2
59 62 2
61 68 2
63 64 2
65 66 2
67 70 2
69 72 2
71 74 2
73 75 2
76 77 2
78 83 2
79 80 2
81 82 2
84 85 2
86 90 2
87 88 2
89 91 2
92 93 2
94 99 2
95 96 2
97 98 1
