Prob_Edge	Seed		Alfa	ISP_Nodes	ISP_Edges	Total_ISP	Truely_ISP_NODES	Truely_ISP_EDGES	Total_truely_ISP_repairs	Expected_OPT_Nodes	Expected_OPT_Edges	Total_OPT_Expected	Expected_OPT_Nodes	Expected_OPT_Edges	Expected_OPT_Total	ONE_SHOT_Expected_OPT_Nodes	ONE_SHOT_Expected_OPT_Edges	Total_ONE_SHOT_OPT_Expected	ONE_SHOT_Expected_OPT_Nodes	ONE_SHOT_Expected_OPT_Edges	ONE_SHOT_Expected_OPT_Total	OPT_Nodes	OPT_Edges	Total_OPT	MCG_Nodes	MCG_Edges	Total_MCG	MCW_Nodes	MCW_Edges	Total_MCW	MCB_Nodes	MCB_Edges	Total_MCB	SRT_Nodes	SRT_Edges	Total_SRT	RNK_Nodes	RNK_Edges	Total_RNK	ALL_Nodes	ALL_Edges	Total_ALL	Total_DEM	SRT_SATIS	%_DEM_SAT	RNK_N_COM	RNK_E_COM	Tot_RNK_C	RNK_N_NC	RNK_E_NC	Tot_RNK_NC	RNK_SATIS	%_DEM_RNK	FLOW_FIXD	NUM_COUPL	VAR_DISTR	ERROR_FLG	Flag_MCG		DirImages
0.002		220		0.6		2		1		3		1		0		1		4		1		5		1		0		1		11		1		12		1		0		1		1		0		1		2		0		2		11		13		24		1		0		1		1		1		2		11		13		24		11		13		24		36		36		100		11		13		24		11		13		24		36		100		12		3		0.6		-		-		Simulazione_432
0.002		221		0.6		4		3		7		3		2		5		8		4		12		3		2		5		19		2		21		3		2		5		3		2		5		5		2		7		21		17		38		3		2		5		3		1		4		21		17		38		21		17		38		36		22		61		21		17		38		21		17		38		36		100		12		3		0.6		-		-		Simulazione_432
0.002		222		0.6		5		3		8		2		2		4		7		3		10		2		3		5		18		3		21		2		3		5		2		2		4		8		2		10		19		12		31		2		2		4		3		3		6		19		12		31		19		12		31		36		36		100		19		12		31		19		12		31		36		100		12		3		0.6		-		-		Simulazione_432
0.002		223		0.6		9		2		11		5		2		7		8		5		13		5		3		8		32		3		35		5		3		8		5		2		7		5		2		7		17		16		33		5		2		7		4		2		6		17		16		33		17		16		33		36		23		63		17		16		33		17		16		33		36		100		12		3		0.6		-		-		Simulazione_432
0.002		224		0.6		7		1		8		4		1		5		10		3		13		3		0		3		34		1		35		4		1		5		3		0		3		4		0		4		16		9		25		3		0		3		2		0		2		16		9		25		16		9		25		36		32		88		16		9		25		16		9		25		36		100		12		3		0.6		-		-		Simulazione_432
0.002		225		0.6		13		6		19		11		6		17		11		5		16		6		5		11		16		5		21		6		5		11		5		3		8		9		3		12		28		15		43		5		3		8		2		3		5		28		15		43		28		15		43		36		23		63		28		15		43		28		15		43		36		100		12		3		0.6		-		-		Simulazione_432
0.002		226		0.6		10		1		11		7		1		8		10		4		14		4		1		5		30		1		31		4		1		5		4		1		5		7		0		7		22		19		41		5		0		5		4		1		5		22		19		41		22		19		41		36		35		97		22		19		41		22		19		41		36		100		12		3		0.6		-		-		Simulazione_432
0.002		227		0.6		9		1		10		5		1		6		10		2		12		4		1		5		28		1		29		4		1		5		2		2		4		8		2		10		21		15		36		3		1		4		3		1		4		21		15		36		21		15		36		36		35		97		21		15		36		21		15		36		36		100		12		3		0.6		-		SI		Simulazione_432
0.002		228		0.6		2		0		2		0		0		0		6		0		6		0		0		0		16		0		16		0		0		0		0		0		0		1		0		1		23		14		37		0		0		0		0		1		1		23		14		37		23		14		37		36		36		100		23		14		37		23		14		37		36		100		12		3		0.6		-		-		Simulazione_432
0.002		229		0.6		14		5		19		10		5		15		10		9		19		4		4		8		19		4		23		4		4		8		4		4		8		10		3		13		24		17		41		6		3		9		4		2		6		24		17		41		24		17		41		36		35		97		24		17		41		24		17		41		36		100		12		3		0.6		-		-		Simulazione_432
